Rank,Name,Count
344,Sylvie,137
345,Alicia,136
346,Halima,135
346,Jannat,135
348,Aizah,133
348,Aubree,133
348,Marley,133
348,Meadow,133
348,Wynter,133
348,Zaynab,133
354,Zuzanna,132
355,Adeline,131
355,Amayah,131
355,Avery,131
355,Daria,131
355,Fiadh,131
360,Gabriela,130
361,Eira,129
361,Robin,129
363,Kaia,127
363,Yasmin,127
365,Kayla,126
365,Lina,126
367,Amalia,125
367,Hawa,125
367,Peggy,125
367,Rachel,125
371,Constance,124
371,Jemima,124
373,Cara,123
373,Ember,123
373,Lillian,123
373,Octavia,123
377,Ffion,122
378,Gianna,121
378,Romy,121
380,Adelaide,120
380,Amelia-Rose,120
382,Lily-Rose,119
383,Aqsa,118
383,Gracie-Mae,118
383,Klara,118
383,Lia,118
387,Theodora,117
388,Livia,116
389,Angel,115
389,Hoorain,115
389,Iqra,115
389,Isra,115
389,Selena,115
389,Serena,115
395,Ariya,113
395,Beau,113
395,Maddie,113
398,Arianna,112
398,Erica,112
398,Madeline,112
398,Yara,112
402,Evangeline,111
402,Reya,111
404,Alayah,110
404,Ava-Mae,110
404,Kyra,110
407,Betty,109
407,Elisa,109
407,Leia,109
407,Lucie,109
407,Rhea,109
412,Agnes,108
412,Ana,108
412,Fleur,108
412,Iyla,108
416,Iona,107
416,Maisy,107
416,Minnie,107
419,Margaret,106
419,Raven,106
419,Vivienne,106
422,Marwa,105
423,Bella-Rose,104
423,Celine,104
423,Imaan,104
423,Rowan,104
427,Margo,103
428,Anais,102
428,Blake,102
428,Nala,102
431,Aayat,101
431,Aiyla,101
431,Alicja,101
431,Anayah,101
431,Brianna,101
431,Juno,101
431,Sydney,101
438,Frances,100
438,Indigo,100
438,Lexie,100
438,Macie,100
438,Stevie,100
443,Aila,99
443,Hiba,99
443,Inayah,99
443,Leyla,99
447,Aminah,98
447,Pola,98
449,Alys,97
449,Bianca,97
449,Duaa,97
449,Ines,97
449,Lilia,97
449,Mara,97
449,Tia,97
456,Margaux,96
457,Catherine,95
457,Theia,95
459,Emilie,94
459,Emmy,94
459,Henrietta,94
459,Natalie,94
463,Ava-Grace,93
463,Elora,93
463,Pixie,93
466,Ameera,92
466,Cataleya,92
466,Dakota,92
469,Demi,91
469,Jennifer,91
469,Mae,91
469,Naya,91
469,Oliwia,91
474,Eadie,90
474,Zoey,90
476,Genevieve,89
476,Michelle,89
478,Camilla,88
478,Elle,88
478,Katherine,88
478,Sabrina,88
478,Zuri,88
483,Arielle,87
483,Dolcie,87
483,Isla-Mae,87
483,Kira,87
483,Liana,87
483,Phoenix,87
483,Sapphire,87
483,Thalia,87
491,Alara,86
491,Amiyah,86
491,Hania,86
491,Mylah,86
491,Myra,86
496,Lylah,85
496,Mali,85
496,Mira,85
496,Miya,85
496,Tiana,85
501,Hailey,84
501,Myah,84
503,Izabella,83
503,Juniper,83
503,Milana,83
506,Esmee,82
506,Evelina,82
506,Joy,82
509,Dahlia,81
509,Delilah-Rose,81
509,Elsie-Mae,81
509,Orlaith,81
513,Aliya,80
513,Darla,80
513,Shelby,80
513,Winifred,80
517,Ivy-Mae,79
517,Maira,79
517,Meredith,79
517,Vanessa,79
521,Ariyah,78
521,Ayzal,78
521,Ciara,78
521,Claudia,78
521,Hayley,78
521,Nela,78
521,Renee,78
521,Sumayyah,78
529,Alexis,77
529,Caitlin,77
529,Ellie-Mae,77
529,Hafsah,77
529,Indiana,77
529,Lily-Mae,77
529,Safiyyah,77
536,Ebony,76
537,Carla,75
537,Cassie,75
537,Destiny,75
537,Elara,75
537,Inara,75
537,Irha,75
537,Skyler,75
544,Emaan,74
544,Minha,74
544,Nusaybah,74
544,Sana,74
544,Tillie,74
549,Adriana,73
549,Cali,73
549,Daniella,73
549,Morgan,73
549,Remy,73
549,Siena,73
555,Camille,72
555,Fearne,72
555,Layan,72
555,Lilith,72
555,Marlowe,72
560,Arwa,71
560,Bailey,71
560,Minahil,71
560,Siyana,71
564,Aaminah,70
564,Gloria,70
564,Harper-Rose,70
567,Alisa,69
567,Bobbie,69
567,Coco,69
567,Elsa,69
567,Erika,69
567,Joni,69
567,Lauren,69
567,Lea,69
567,Ruth,69
576,Anabia,68
576,Ariah,68
576,Eshaal,68
576,Ettie,68
576,Leena,68
581,Aarya,67
581,Ayana,67
581,Milena,67
581,Milly,67
581,Olivia-Rose,67
581,Sylvia,67
581,Una,67
588,Annabella,66
588,Elyza,66
588,Gabrielle,66
588,Kara,66
588,Louisa,66
588,Stefania,66
594,Ameerah,65
594,Aura,65
594,Dulcie,65
594,Ela,65
594,Kaya,65
594,Rumaysa,65
594,Sasha,65
594,Sia,65
594,Veronica,65
603,Adele,64
603,Adelina,64
603,Alya,64
603,Amani,64
603,Aniyah,64
603,Celeste,64
603,Joanna,64
603,Kiana,64
603,Marina,64
603,Mia-Rose,64
603,Nyra,64
603,Safaa,64
603,Zimal,64
616,Anika,63
616,Asiya,63
616,Aysha,63
616,Evie-Rose,63
616,Frida,63
616,Liberty,63
616,Lilian,63
616,Rosanna,63
616,Rosemary,63
625,Adaline,62
625,Alyssia,62
625,Cecelia,62
625,Gia,62
625,Kyla,62
625,Laiba,62
625,Mahnoor,62
625,Storm,62
625,Tiffany,62
634,Gaia,61
634,Mina,61
634,Neave,61
634,Ria,61
634,Taylor,61
634,Vera,61
640,Asiyah,60
640,Ayeza,60
640,Daisy-Mae,60
640,Enya,60
640,Giulia,60
640,Haleema,60
640,Jannah,60
640,Juliet,60
640,Marcie,60
640,Paris,60
640,Patricia,60
640,Persephone,60
640,Safiya,60
640,Tessa,60
654,Alaina,59
654,Chiara,59
654,Jade,59
654,Jana,59
654,Karina,59
654,Liya,59
654,Macey,59
654,Manha,59
654,May,59
654,Rita,59
654,Ruqayyah,59
654,Samantha,59
654,Soraya,59
667,Alanna,58
667,Isabella-Rose,58
667,Kaira,58
667,Malia,58
667,Paloma,58
667,Riya,58
667,Sonia,58
674,Hermione,57
674,Imani,57
674,Leilani,57
674,Lili,57
674,Millicent,57
674,Ruby-Rose,57
674,Saffron,57
674,Scarlet,57
674,Sidra,57
683,Ellen,56
683,Hawwa,56
683,Raeya,56
683,Roma,56
683,Valencia,56
688,Ella-Mae,55
688,Ferne,55
688,Hettie,55
688,Humaira,55
688,Izabela,55
688,Jorgie,55
688,Layla-Rose,55
688,Malaika,55
688,Melisa,55
688,Sienna-Rose,55
688,Stephanie,55
699,Amanda,54
699,Cece,54
699,Delia,54
699,Kitty,54
699,Luella,54
699,Millie-Mae,54
699,Rebeca,54
699,Rylee,54
699,Salma,54
699,Shanaya,54
709,Abeeha,53
709,Bridget,53
709,Cecily,53
709,Lainey,53
709,Louise,53
709,Macy,53
709,Marlie,53
709,Martina,53
709,Michaela,53
709,Sky,53
709,Theadora,53
720,Allegra,52
720,Amari,52
720,Asees,52
720,Diya,52
720,Eleri,52
720,Elin,52
720,Ema,52
720,Harlie,52
720,Huda,52
720,Nancie,52
720,Nella,52
720,Oakley,52
720,Siya,52
720,Tara,52
734,Adalyn,51
734,Alora,51
734,Christina,51
734,Elowen,51
734,Enola,51
734,Giovanna,51
734,Gwen,51
734,Ingrid,51
734,Kate,51
734,Kiera,51
734,Lilly-Mae,51
734,Reign,51
734,Saskia,51
747,Alia,50
747,Arwen,50
747,Bea,50
747,Cassandra,50
747,Crystal,50
747,Elina,50
747,Hadiya,50
747,Lavinia,50
755,Aleksandra,49
755,Antonina,49
755,Carmen,49
755,Cerys,49
755,Charlie,49
755,Everley,49
755,Haya,49
755,Lilianna,49
755,Lisa,49
755,Marla,49
755,Naila,49
755,Tahlia,49
